chassis,model,mul_id,year,BV,cost,level,techBase,techRating,type,subtype,omni,engine,engineRating,source,role,armorType,structureType,armor,armorPer,structure,heat,dissipation,dissipationEfficiency,moveType,walk,maxWalk,jump,maxJump,umu,c3,dpt,firepower,firepower (no oneshots),maxRange,components,quirks,cargo,dropshipCapacity,escapePods,lifeBoats,gravDecks,sailIntegrity,kfIntegrity
Akuma,AKU-2XC,22,3077,2134,13718380,Advanced,Inner Sphere,F/X-X-F-E,Mek,BattleMek,0, Fusion,270,TR:3085,Juggernaut,Standard Armor,Endo Steel,279,100,138,30,24,-6,Biped,3,3,0,0,0,C3 Boosted Slave,44.3,70,70,18,"1xApollo MRM FCS:LT, 1xSnub-Nose PPC:LA, 1xLB 10-X AC:RT, 1xCASE:LT, 3xMRM 40 Ammo:LT, 1xMedium Laser:LA, 1xCASE:RT, 1xC3 Boosted Slave:CT, 1xLB 10-X Cluster Ammo:RT, 1xMedium Laser:RA, 1xLB 10-X Ammo:RT, 1xMRM 40:LT, 1xAngel ECM Suite:CT, 1xStandard Armor:Armor, 1xEndo Steel Structure:Structure, 1x Fusion Engine:Engine",Easy to Maintain,,,,,,,
Akuma,AKU-2XK,5714,3083,2170,11586580,Standard,Inner Sphere,E/X-X-E-D,Mek,BattleMek,0, Fusion,270,RS:3067u,Juggernaut,Standard Armor,Endo Steel,279,100,138,44,22,-22,Biped,3,3,0,0,0,C3 Slave,34.9,98,98,18,"1xMedium Pulse Laser:LA, 1xC3 Slave:HD, 1xRotary AC/5:RT, 1xER Medium Laser:RA, 1xMML 9/SRM Ammo:RT, 1xHeavy PPC:LA, 2xMML 9:LT, 2xMML 9/LRM Ammo:RT, 1xECM Suite (Guardian):LT, 2xRAC/5 Ammo:RT, 1xCASE:RT, 1xMedium Pulse Laser:CT, 1xStandard Armor:Armor, 1xEndo Steel Structure:Structure, 1x Fusion Engine:Engine",Easy to Maintain,,,,,,,
Albatross,ALB-3U,27,3053,1668,25608700,Standard,Inner Sphere,E/X-X-E-D,Mek,BattleMek,0, XL,380,TR:3055U,Brawler,Standard Armor,Standard,208,71,145,39,28,-11,Biped,4,4,0,0,0,None,39.1,64,64,21,"1xLB 10-X AC:LA, 1xLB 10-X Cluster Ammo:LT, 2xMedium Laser:RA, 1xCASE:LT, 1xLRM 15:RT, 2xLRM 15 Ammo:RT, 1xLarge Pulse Laser:RA, 1xER Large Laser:LT, 1xLB 10-X Ammo:LT, 1xSRM 6:RT, 1xSRM 6 Ammo:RT, 1xCASE:RT, 1xStandard Armor:Armor, 1xStandard Structure:Structure, 1x XL Engine:Engine","Easy to Maintain, Improved Targeting (Long)",,,,,,,
Albatross,ALB-3Ur,28,3076,1902,25472200,Standard,Inner Sphere,E/X-X-F-D,Mek,BattleMek,0, XL,380,TR:3085,Brawler,Standard Armor,Standard,208,71,145,34,28,-6,Biped,4,4,0,0,0,None,44.4,61,61,22,"1xMML 9/SRM Ammo:LT, 1xMML 9:RT, 2xMedium Laser:RA, 2xGauss Ammo:LA, 1xCASE:LT, 1xMML 9/SRM Ammo:RT, 1xMML 9/LRM Ammo:LT, 1xSnub-Nose PPC:RA, 1xMML 9/LRM Ammo:RT, 1xGauss Rifle:LA, 1xER Large Laser:LT, 1xCASE:RT, 1xStandard Armor:Armor, 1xStandard Structure:Structure, 1x XL Engine:Engine","Easy to Maintain, Improved Targeting (Long)",,,,,,,
Albatross,ALB-4U,29,3063,1907,25552638,Standard,Inner Sphere,E/X-X-E-D,Mek,BattleMek,0, XL,380,TR:3055U,Brawler,Ferro-Fibrous,Standard,293,100,145,32,28,-4,Biped,4,4,0,0,0,None,41.6,57,57,25,"1xStreak SRM 6:RT, 1xER Small Laser:LT, 1xStreak SRM 6 Ammo:LT, 2xER Medium Laser:RA, 1xCASE:LT, 1xLight Gauss Ammo:LT, 2xLRM 15 Ammo:LT, 1xLRM 15:RT, 1xLight Gauss Rifle:LA, 1xLarge Pulse Laser:RA, 1xFerro-Fibrous Armor:Armor, 1xStandard Structure:Structure, 1x XL Engine:Engine","Easy to Maintain, Improved Targeting (Long)",,,,,,,
Albatross,ALB-4Ur,9510,3103,1893,25948000,Standard,Inner Sphere,E/X-X-E-D,Mek,BattleMek,0, XL,380,Shrap13,None,Ferro-Fibrous,Standard,293,100,145,36,26,-10,Biped,4,4,0,0,0,None,37.2,61,61,21,"1xLight PPC:LT, 1xLB 10-X AC:LA, 1xLB 10-X Cluster Ammo:LT, 1xSRM 6 Ammo:LT, 2xER Medium Laser:RA, 1xCASE:LT, 2xLRM 15 Ammo:LT, 1xLRM 15:RT, 1xLarge Pulse Laser:RA, 1xLB 10-X Ammo:LT, 1xSRM 6:RT, 1xFerro-Fibrous Armor:Armor, 1xStandard Structure:Structure, 1x XL Engine:Engine","Easy to Maintain, Improved Targeting (Long)",,,,,,,
Albatross,ALB-5U,9511,3091,1885,25880888,Standard,Inner Sphere,E/X-X-E-D,Mek,BattleMek,0, Light,380,Shrap13,None,Heavy Ferro-Fibrous,Standard,293,100,145,36,26,-10,Biped,4,4,0,0,0,None,27,48,48,18,"1xLarge X-Pulse Laser:RA, 1xMML 7/SRM Ammo:LT, 1xMML 7/LRM Ammo:LT, 1xER Small Laser:LT, 1xRAC/2 Ammo:LT, 1xMML 7:RT, 2xER Medium Laser:RA, 1xCASE:LT, 1xRotary AC/2:LA, 1xHeavy Ferro-Fibrous Armor:Armor, 1xStandard Structure:Structure, 1x Light Engine:Engine","Easy to Maintain, Improved Targeting (Long)",,,,,,,
Albatross,ALB-5W,9509,3070,2370,29607825,Standard,Inner Sphere,E/X-X-E-D,Mek,BattleMek,0, Light,380,Shrap13,None,Heavy Ferro-Fibrous,Standard,293,100,145,52,26,-26,Biped,4,5,0,0,0,None,24.5,49,49,23,"1xER PPC:LA, 1xMedium Pulse Laser:RT, 1xPPC Capacitor:LA, 1xLarge VSP Laser:RA, 1xER Small Laser:LT, 1xMedium Pulse Laser:LT, 1xER Medium Laser:LT, 1xECM Suite (Guardian):LT, 2xTriple Strength Myomer:CT, 1xER Small Laser:RT, 2xTriple Strength Myomer:RL, 2xTriple Strength Myomer:LL, 1xER Medium Laser:RT, 1xHeavy Ferro-Fibrous Armor:Armor, 1xStandard Structure:Structure, 1x Light Engine:Engine","Easy to Maintain, Improved Targeting (Long)",,,,,,,
Albatross,ALB-5W (Dantalion),30,3073,2296,29975888,Standard,Inner Sphere,E/X-X-E-D,Mek,BattleMek,0, Light,380,JTP:Atreus,Brawler,Heavy Ferro-Fibrous,Standard,293,100,145,57,26,-31,Biped,4,5,0,0,0,None,22.4,49,49,23,"1xER PPC:LA, 1xMedium Pulse Laser:RT, 1xPPC Capacitor:LA, 1xLarge VSP Laser:RA, 1xMedium Pulse Laser:LT, 1xER Medium Laser:LT, 1xECM Suite (Guardian):LT, 2xTriple Strength Myomer:CT, 1xER Small Laser:RT, 1xLaser AMS:HD, 2xTriple Strength Myomer:RL, 2xTriple Strength Myomer:LL, 1xER Medium Laser:RT, 1xHeavy Ferro-Fibrous Armor:Armor, 1xStandard Structure:Structure, 1x Light Engine:Engine","Easy to Maintain, Improved Targeting (Long)",,,,,,,
Albatross,ALB-6U,9507,3118,2162,27385150,Standard,Inner Sphere,E/X-X-F-D,Mek,BattleMek,0, XL,380,Shrap13,None,Ferro-Fibrous,Composite,293,100,145,35,26,-9,Biped,4,4,0,0,0,None,43.5,68,68,22,"1xLight PPC:LT, 2xGauss Ammo:LT, 1xLarge VSP Laser:RA, 1xSRM 6 Ammo:LT, 2xER Medium Laser:RA, 2xLRM 15 Ammo:LT, 1xLRM 15:RT, 1xCASE II:LT, 1xGauss Rifle:LA, 1xSRM 6:RT, 1xFerro-Fibrous Armor:Armor, 1xComposite Structure:Structure, 1x XL Engine:Engine","Easy to Maintain, Improved Targeting (Long)",,,,,,,
Albatross,C 'Sooty Albatross',9508,3148,2790,28475200,Standard,Mixed,F/X-X-X-E,Mek,BattleMek,0, XL,380,Shrap13,None,Ferro-Fibrous,Composite,293,100,145,37,30,-7,Biped,4,4,4,4,0,None,32.8,44,44,23,"2xGauss Ammo:LT, 1xATM 9:RT, 1xER Large Pulse Laser:RA, 1xATM 9 HE Ammo:LT, 2xER Medium Laser:RA, 1xATM 9 ER Ammo:LT, 1xPlasma Cannon:LT, 1xCASE II:LT, 1xGauss Rifle:LA, 1xATM 9 Ammo:LT, 1xPlasma Cannon Ammo:LT, 1xFerro-Fibrous Armor:Armor, 1xComposite Structure:Structure, 1x XL Engine:Engine","Easy to Maintain, Improved Targeting (Long)",,,,,,,
Alfar,AL-A1,3694,2573,1447,5062507,Standard,Inner Sphere,E/D-F(F*)-E-D,Mek,BattleMek,0, Fusion,275,His:RW,Skirmisher,Ferro-Fibrous,Endo Steel,179,97,91,23,15,-8,Biped,5,5,3,3,0,None,21.5,37,37,18,"1xMedium Laser:HD, 1xPPC:RA, 1xSRM 6:LT, 1xSRM 6 Ammo:LT, 2xMedium Laser:LA, 1xFerro-Fibrous Armor:Armor, 1xEndo Steel Structure:Structure, 1x Fusion Engine:Engine",Non-Standard Parts,,,,,,,
Alfar,AL-D1 'Dökkálfar',3693,2573,1458,5020657,Standard,Inner Sphere,E/D-F(F*)-E-D,Mek,BattleMek,0, Fusion,275,His:RW,Sniper,Ferro-Fibrous,Endo Steel,179,97,91,20,15,-5,Biped,5,5,3,3,0,None,15,20,20,18,"1xPPC:RA, 1xPPC:LA, 1xFerro-Fibrous Armor:Armor, 1xEndo Steel Structure:Structure, 1x Fusion Engine:Engine",Non-Standard Parts,,,,,,,
Alpha Wolf,Prime,8440,3150,2966,31293000,Standard,Mixed,F/X-X-X-E,Mek,BattleMek Omni,1, XL,360,RG24,Sniper,Stealth,Endo-Composite,279,100,138,22,28,6,Biped,4,4,0,0,0,None,50.7,90,90,21,"1xRotary AC/5:LA, 3xRAC/5 Ammo:LT, 1xLRM 15:LT, 1xCASE:LT, 1xRotary AC/5:RA, 2xLRM 15 Ammo:LT, 1xLRM 15:RT, 2xLRM 15 Ammo:RT, 3xRAC/5 Ammo:RT, 1xECM Suite:HD, 1xCASE:RT, 1xStealth Armor:Armor, 1xEndo-Composite Structure:Structure, 1x XL Engine:Engine",,,,,,,,
Alpha Wolf,A,8441,3150,3435,40261000,Standard,Mixed,F/X-X-X-E,Mek,BattleMek Omni,1, XL,360,RG24,Brawler,Stealth,Endo-Composite,279,100,138,54,40,-14,Biped,4,4,0,0,0,None,54.8,82,82,23,"1xER PPC:LA, 2xMedium Pulse Laser:LA, 1xStreak SRM 6:RT, 1xStreak SRM 6 Ammo:RT, 1xStreak SRM 6 Ammo:LT, 1xStreak SRM 6:LT, 1xCASE:LT, 1xER PPC:RA, 1xSupercharger:RT, 2xMedium Pulse Laser:RA, 1xECM Suite:HD, 1xCASE:RT, 1xStealth Armor:Armor, 1xEndo-Composite Structure:Structure, 1x XL Engine:Engine",,,,,,,,
Alpha Wolf,B,8442,3150,2672,33126500,Standard,Mixed,F/X-X-X-E,Mek,BattleMek Omni,1, XL,360,RG24,Brawler,Stealth,Endo-Composite,279,100,138,29,32,3,Biped,4,4,0,0,0,None,51,59,59,22,"1xCASE:RA, 1xSRM 6:LT, 1xArtemis V FCS:RT, 1xArtemis V FCS:LT, 2xGauss Ammo:RA, 1xECM Suite:HD, 1xSRM 6 Artemis V Ammo:RT, 2xLarge Pulse Laser:LA, 1xGauss Rifle:RA, 1xSRM 6 Artemis V Ammo:LT, 1xCASE II:RT, 1xCASE II:LT, 1xSRM 6:RT, 1xStealth Armor:Armor, 1xEndo-Composite Structure:Structure, 1x XL Engine:Engine",,,,,,,,
Alpha Wolf,C,8443,3150,2535,31896250,Standard,Mixed,F/X-X-X-E,Mek,BattleMek Omni,1, XL,360,RG24,Sniper,Stealth,Endo-Composite,279,100,138,51,42,-9,Biped,4,4,0,0,0,None,44.2,61,61,38,"1xER Large Laser:RA, 1xER Medium Laser:LA, 1xExtended LRM 10:RT, 1xER Medium Laser:LT, 1xER Medium Laser:RA, 1xCASE:LT, 1xER Large Laser:LA, 1xELRM 10 Ammo:RT, 2xELRM 10 Ammo:LT, 1xExtended LRM 10:LT, 1xECM Suite:HD, 1xCASE:RT, 1xStealth Armor:Armor, 1xEndo-Composite Structure:Structure, 1x XL Engine:Engine",,,,,,,,
Amarok,,8239,3149,3185,37032333,Advanced,Clan,F/X-X-X-E,Mek,BattleMek,0, XL,400,RG17,Juggernaut,Hardened,Endo Steel,164,53,152,44,32,-12,Biped,4,4,0,0,0,None,41.3,79,79,23,"2xRAC/5 Ammo:LT, 1xLarge Pulse Laser:CT, 1xPPC Capacitor:RT, 2xStreak SRM 6:RT, 1xER PPC:RT, 1xStreak SRM 6 Ammo:RT, 1xCASE:LT, 1xSupercharger:RT, 1xRotary AC/5:LT, 1xCASE:RT, 1xHardened Armor:Armor, 1xEndo Steel Structure:Structure, 1x XL Engine:Engine","Battle Fists (LA), Battle Fists (RA), Stable",,,,,,,
Amarok,2,8240,3150,3351,41498333,Advanced,Clan,F/X-X-X-E,Mek,BattleMek,0, XL,400,RG17,Brawler,Hardened,Endo Steel,164,53,152,51,32,-19,Biped,4,4,0,0,0,None,41.2,73,73,21,"1xImp. Heavy Large Laser:RT, 1xER Medium Laser:RA, 1xAP Gauss Ammo:LT, 1xSupercharger:RT, 1xStreak LRM 20:RT, 1xLarge Pulse Laser:CT, 1xER Medium Laser:LA, 2xAP Gauss Rifle:LT, 1xER Medium Laser:HD, 1xCASE II:RT, 1xCASE II:LT, 2xStreak LRM 20 Ammo:LT, 1xMASC:LT, 1xHardened Armor:Armor, 1xEndo Steel Structure:Structure, 1x XL Engine:Engine","Battle Fists (LA), Battle Fists (RA), Stable",,,,,,,
Amarok,3,8241,3150,2675,29949333,Advanced,Mixed,F/X-X-X-E,Mek,BattleMek,0, XL,400,RG17,Juggernaut,Hardened,Endo Steel,240,78,152,24,20,-4,Biped,4,4,0,0,0,None,38.7,61,61,24,"3xSmall Pulse Laser:LA, 1xArtemis V FCS:RT, 1xSpikes:LT, 1xSpikes:RT, 3xSmall Pulse Laser:RA, 1xSmall Pulse Laser:CT, 1xLRM 20:RT, 2xLRM 20 Artemis V Ammo:RT, 1xSpikes:HD, 1xHAG/20:LT, 1xSpikes:LA, 2xHAG/20 Ammo:LT, 1xCASE II:RT, 1xSpikes:RA, 1xCASE II:LT, 1xSpikes:CT, 1xHardened Armor:Armor, 1xEndo Steel Structure:Structure, 1x XL Engine:Engine","Battle Fists (LA), Battle Fists (RA), Stable",,,,,,,
Annihilator,ANH-1A,3700,3009,1434,7696667,Introductory,Inner Sphere,D/X-E-D-D,Mek,BattleMek,0, Fusion,200,TR:3050,Juggernaut,Standard Armor,Standard,200,65,152,24,18,-6,Biped,2,2,0,0,0,None,45,60,60,15,"1xAC/10:LT, 1xAC/10:LA, 2xAC/10 Ammo:LT, 1xMedium Laser:RA, 1xAC/10:RA, 2xMedium Laser:CT, 2xAC/10 Ammo:RT, 1xAC/10:RT, 1xMedium Laser:LA, 1xStandard Armor:Armor, 1xStandard Structure:Structure, 1x Fusion Engine:Engine",Easy to Maintain,,,,,,,
Annihilator,ANH-1E,36,3028,1625,7760667,Introductory,Inner Sphere,D/X-E-D-D,Mek,BattleMek,0, Fusion,200,OTP:DTM,Juggernaut,Standard Armor,Standard,216,70,152,52,41,-11,Biped,2,2,0,0,0,None,47.3,60,60,18,"2xPPC:RA, 1xMedium Laser:RA, 2xPPC:LA, 2xMedium Laser:CT, 1xMedium Laser:LA, 1xStandard Armor:Armor, 1xStandard Structure:Structure, 1x Fusion Engine:Engine",Easy to Maintain,,,,,,,
Annihilator,ANH-1G,37,2823,2274,8576667,Standard,Inner Sphere,E/X-F(F*)-D-D,Mek,BattleMek,0, Fusion,200,His:OK,Juggernaut,Standard Armor,Standard,296,96,152,18,20,2,Biped,2,2,0,0,0,None,55,55,55,23,"2xGauss Ammo:LT, 1xGauss Rifle:RA, 1xER PPC:RT, 2xGauss Ammo:LA, 1xGauss Rifle:LT, 2xGauss Ammo:RA, 1xGauss Rifle:LA, 1xStandard Armor:Armor, 1xStandard Structure:Structure, 1x Fusion Engine:Engine",Easy to Maintain,,,,,,,
Annihilator,ANH-1X,38,2779,1926,9945167,Standard,Inner Sphere,E/E-F(F*)-D-D,Mek,BattleMek,0, Fusion,200,His:OK,Juggernaut,Standard Armor,Standard,304,99,152,25,20,-5,Biped,2,2,0,0,0,None,55.2,69,69,18,"1xSmall Pulse Laser:LA, 1xLB 10-X AC:RT, 1xLB 10-X Ammo:LA, 1xCASE:LT, 1xSmall Pulse Laser:RA, 2xMedium Laser:CT, 1xLB 10-X AC:LT, 1xMedium Laser:LA, 1xCASE:RT, 1xLB 10-X AC:LA, 1xLB 10-X Cluster Ammo:RT, 1xLB 10-X AC:RA, 1xLB 10-X Cluster Ammo:LT, 1xMedium Laser:RA, 1xLB 10-X Ammo:RT, 1xSmall Laser:HD, 1xLB 10-X Cluster Ammo:RA, 1xLB 10-X Ammo:LT, 1xStandard Armor:Armor, 1xStandard Structure:Structure, 1x Fusion Engine:Engine",Easy to Maintain,,,,,,,
Annihilator,ANH-2A,39,3048,1595,9732667,Standard,Inner Sphere,E/X-F-D-D,Mek,BattleMek,0, Fusion,200,TR:3050,Juggernaut,Standard Armor,Standard,200,65,152,24,17,-7,Biped,2,2,0,0,0,None,45.3,64,64,18,"1xLB 10-X AC:RT, 1xCASE:LT, 1xLB 10-X AC:LT, 1xCASE:RT, 1xLB 10-X AC:LA, 1xLB 10-X Cluster Ammo:RT, 1xMedium Pulse Laser:LA, 1xLB 10-X AC:RA, 1xLB 10-X Cluster Ammo:LT, 1xLB 10-X Ammo:RT, 1xMedium Pulse Laser:RA, 1xLB 10-X Ammo:LT, 2xMedium Pulse Laser:CT, 1xStandard Armor:Armor, 1xStandard Structure:Structure, 1x Fusion Engine:Engine",Easy to Maintain,,,,,,,
Annihilator,ANH-2AX,40,3074,2553,15273333,Advanced,Inner Sphere,E/X-X-F-E,Mek,BattleMek,0, Compact,200,XTR:Mercs,Sniper,Reflective,Standard,304,99,152,4,10,6,Biped,2,2,0,0,0,None,44,44,44,19,"4xiHeavy Gauss Ammo:RA, 1xImp. Heavy Gauss Rifle:RT, 4xiHeavy Gauss Ammo:LA, 1xCASE:LT, 1xImp. Heavy Gauss Rifle:LT, 1xCASE:RT, 1xReflective Armor:Armor, 1xStandard Structure:Structure, 1x Compact Engine:Engine",Easy to Maintain,,,,,,,
Annihilator,ANH-3A,41,3068,1712,12552333,Standard,Inner Sphere,E/X-X-F-D,Mek,BattleMek,0, Compact,200,TR:3050,Juggernaut,Light Ferro-Fibrous,Standard,307,100,152,28,24,-4,Biped,2,2,0,0,0,None,33.9,36,36,18,"1xER Medium Laser:LA, 2xLight AC/2:RA, 2xLight AC/2:LT, 1xTargeting Computer:RT, 1xER Medium Laser:LT, 2xLight AC/2:LA, 1xER Medium Laser:RA, 5xLAC/2 Ammo:LT, 1xCASE:LT, 1xER Medium Laser:RT, 2xLight AC/2:RT, 1xLight Ferro-Fibrous Armor:Armor, 1xStandard Structure:Structure, 1x Compact Engine:Engine",Easy to Maintain,,,,,,,
Annihilator,ANH-4A,42,3069,1726,10200667,Standard,Inner Sphere,E/X-X-F-D,Mek,BattleMek,0, Fusion,200,TR:3050,Sniper,Standard Armor,Standard,232,76,152,36,30,-6,Biped,2,2,0,0,0,None,45,54,54,18,"1xLight AC/2:HD, 1xHeavy PPC:RA, 2xLB 10-X Ammo:RT, 1xLB 10-X AC:RT, 1xLAC/2 Ammo:RT, 1xLAC/2 Ammo:LT, 1xHeavy PPC:LA, 1xLB 10-X AC:LT, 1xLight AC/2:CT, 2xLB 10-X Ammo:LT, 1xStandard Armor:Armor, 1xStandard Structure:Structure, 1x Fusion Engine:Engine",Easy to Maintain,,,,,,,
Annihilator,ANH-5W,8386,3134,2595,11896667,Standard,Mixed,F/X-X-X-E,Mek,BattleMek,0, Fusion,200,RG24,Sniper,Standard Armor,Endo Steel,232,76,152,20,20,0,Biped,2,2,0,0,0,None,88,88,88,22,"1xGauss Rifle:RT, 3xGauss Ammo:LT, 2xGauss Ammo:CT, 1xGauss Rifle:LA, 1xCASE II:LA, 1xMedium Pulse Laser:LA, 1xGauss Rifle:RA, 1xCASE II:RA, 3xGauss Ammo:RT, 1xGauss Rifle:LT, 1xCASE II:RT, 1xMedium Pulse Laser:RA, 1xCASE II:LT, 2xMedium Pulse Laser:CT, 1xStandard Armor:Armor, 1xEndo Steel Structure:Structure, 1x Fusion Engine:Engine",Easy to Maintain,,,,,,,
Annihilator,C,43,2848,2520,11676000,Standard,Clan,F/X-F-D-D,Mek,BattleMek,0, Fusion,300,TR:3050,Sniper,Standard Armor,Endo Steel,256,83,152,44,24,-20,Biped,3,3,0,0,0,None,46.3,108,108,18,"1xUltra AC/10:LT, 1xUltra AC/10:LA, 4xUltra AC/10 Ammo:RT, 1xER Medium Laser:LA, 1xUltra AC/10:RT, 1xUltra AC/10:RA, 4xUltra AC/10 Ammo:LT, 1xER Medium Laser:RA, 1xCASE:LT, 2xER Medium Laser:CT, 1xCASE:RT, 1xStandard Armor:Armor, 1xEndo Steel Structure:Structure, 1x Fusion Engine:Engine",Easy to Maintain,,,,,,,
